"species","organ","metabolite","concentration_ppm","stError_ppm"
"baicalensis","roots","scutellarin",0,0
"baicalensis","roots","wogonin",4.96400512019272,0.253448257351938
"baicalensis","roots","wogonoside",14.8100788690032,0.982332670327982
"baicalensis","stems","acteoside",0.0294348715646443,0.0294348715646443
"baicalensis","stems","apigenin",0.164641191392509,0.164641191392509
"baicalensis","stems","apigeninG",0.493236238640959,0.0304937181108787
"baicalensis","stems","baicalein",0.0774360396182114,0.0410130749082954
"baicalensis","stems","baicalin",1.95250121705188,1.95250121705188
"baicalensis","stems","chrysin",0.232289459691185,0.0530632728336642
"baicalensis","stems","chrysinG",0.190833713872512,0.0258631334509402
"baicalensis","stems","hispidulin",0.0420636431244251,0.0286321299785725
"baicalensis","stems","hispidulinG",0,0
"baicalensis","stems","isoscutellarin",3.41502628609572,0.939279407686072
"baicalensis","stems","oroxylinA",0,0
"baicalensis","stems","oroxyloside",0,0
"baicalensis","stems","scutellarein",1.49511382540899,0.617026426627519
"baicalensis","stems","scutellarin",4.07960505771823,0.651986812168951
"baicalensis","stems","wogonin",0.159989302661895,0.159989302661895
"baicalensis","stems","wogonoside",0.0543236039646118,0.0543236039646118
"barbata","leaves","acteoside",0,0
"barbata","leaves","apigenin",0,0
"barbata","leaves","apigeninG",0.0303265277001527,0.0303265277001527
"barbata","leaves","baicalein",0,0
"barbata","leaves","baicalin",0,0
"barbata","leaves","chrysin",0.0321025850420672,0.000853499259265937
"barbata","leaves","chrysinG",0,0
"barbata","leaves","hispidulin",0.153421603606456,0.0309090173237488
"barbata","leaves","hispidulinG",0,0
"barbata","leaves","isoscutellarin",3.68831668280385,0.765070539770206
"barbata","leaves","oroxylinA",0,0
"barbata","leaves","oroxyloside",0,0
"barbata","leaves","scutellarein",6.56634442677808,0.478714970972067
"barbata","leaves","scutellarin",3.49342817326611,1.62307050876505
"barbata","leaves","wogonin",0,0
"barbata","leaves","wogonoside",0,0
"barbata","roots","acteoside",1.62224391024353,0.24589124219912
"barbata","roots","apigenin",0,0
"barbata","roots","apigeninG",0,0
"barbata","roots","baicalein",2.01203167969136,0.053005915401918
"barbata","roots","baicalin",5.78742724568062,1.09635152548944
"barbata","roots","chrysin",0,0
"barbata","roots","chrysinG",0,0
"barbata","roots","hispidulin",0,0
"barbata","roots","hispidulinG",0,0
"barbata","roots","isoscutellarin",0,0
"barbata","roots","oroxylinA",0.107694850899117,0.00795200416852162
