"species","organ","metabolite","concentration_ppm","stError_ppm"
"indica var. coccinea","leaves","baicalin",0,0
"indica var. coccinea","leaves","chrysin",0,0
"indica var. coccinea","leaves","chrysinG",0,0
"indica var. coccinea","leaves","hispidulin",0,0
"indica var. coccinea","leaves","hispidulinG",0,0
"indica var. coccinea","leaves","isoscutellarin",9.32870291725386,3.78841047048478
"indica var. coccinea","leaves","oroxylinA",0,0
"indica var. coccinea","leaves","oroxyloside",0,0
"indica var. coccinea","leaves","scutellarein",2.26864029027985,1.52973259763769
"indica var. coccinea","leaves","scutellarin",27.1566730833905,11.5014945962967
"indica var. coccinea","leaves","wogonin",0,0
"indica var. coccinea","leaves","wogonoside",0,0
"indica var. coccinea","roots","acteoside",1.31024593311294,0.552548419232679
"indica var. coccinea","roots","apigenin",0,0
"indica var. coccinea","roots","apigeninG",0,0
"indica var. coccinea","roots","baicalein",0,0
"indica var. coccinea","roots","baicalin",3.09366848690312,0.217243898490672
"indica var. coccinea","roots","chrysin",0,0
"indica var. coccinea","roots","chrysinG",0.0961742613168888,0.0564293853724434
"indica var. coccinea","roots","hispidulin",0,0
"indica var. coccinea","roots","hispidulinG",0,0
"indica var. coccinea","roots","isoscutellarin",0,0
"indica var. coccinea","roots","oroxylinA",0.0829851184398544,0.00216071356139493
"indica var. coccinea","roots","oroxyloside",0,0
"indica var. coccinea","roots","scutellarein",0,0
"indica var. coccinea","roots","scutellarin",0.854759224092195,0.133835942946538
"indica var. coccinea","roots","wogonin",5.34523772964751,0.521603752010557
"indica var. coccinea","roots","wogonoside",11.079315287594,0.911807912942589
"indica var. coccinea","stems","acteoside",0,0
"indica var. coccinea","stems","apigenin",1.00163786549536,0.161074240982707
"indica var. coccinea","stems","apigeninG",4.04540252684672,0.439860406919946
"indica var. coccinea","stems","baicalein",0,0
"indica var. coccinea","stems","baicalin",0,0
"indica var. coccinea","stems","chrysin",0,0
"indica var. coccinea","stems","chrysinG",0,0
"indica var. coccinea","stems","hispidulin",0.0331131970453394,0.0224415566193744
"indica var. coccinea","stems","hispidulinG",0,0
"indica var. coccinea","stems","isoscutellarin",4.82053105509592,0.53374287343277
"indica var. coccinea","stems","oroxylinA",0,0
"indica var. coccinea","stems","oroxyloside",0,0
"indica var. coccinea","stems","scutellarein",0.423325718301855,0.145903027468158
"indica var. coccinea","stems","scutellarin",11.9548070499011,0.711506504310871
"indica var. coccinea","stems","wogonin",0.156606227582715,0.0656589356446617
"indica var. coccinea","stems","wogonoside",0.0329516781587776,0.0380493205104403
"insignis","leaves","acteoside",0,0
"insignis","leaves","apigenin",0,0
"insignis","leaves","apigeninG",0,0
"insignis","leaves","baicalein",0,0
"insignis","leaves","baicalin",0,0
"insignis","leaves","chrysin",0,0
"insignis","leaves","chrysinG",0,0
"insignis","leaves","hispidulin",0,0
"insignis","leaves","hispidulinG",0,0
"insignis","leaves","isoscutellarin",1.68418977090233,0.0973998418440573
"insignis","leaves","oroxylinA",0,0
"insignis","leaves","oroxyloside",0,0
"insignis","leaves","scutellarein",0.788185398615025,0.104690949152339
"insignis","leaves","scutellarin",5.43697055519464,1.98059613454841
"insignis","leaves","wogonin",0,0
"insignis","leaves","wogonoside",0,0
"insignis","roots","acteoside",0,0
"insignis","roots","apigenin",0,0
"insignis","roots","apigeninG",0,0
"insignis","roots","baicalein",0,0
"insignis","roots","baicalin",0.067112016459777,0.067112016459777
"insignis","roots","chrysin",0,0
"insignis","roots","chrysinG",0,0
"insignis","roots","hispidulin",0,0
"insignis","roots","hispidulinG",0,0
"insignis","roots","isoscutellarin",0,0
"insignis","roots","oroxylinA",0,0
"insignis","roots","oroxyloside",0,0
"insignis","roots","scutellarein",0,0
"insignis","roots","scutellarin",0,0
"insignis","roots","wogonin",0.64936037615533,0.148664405145389
"insignis","roots","wogonoside",2.89150975843273,0.717593491366195
"insignis","stems","acteoside",0,0
"insignis","stems","apigenin",0,0
"insignis","stems","apigeninG",0,0
"insignis","stems","baicalein",0,0
"insignis","stems","baicalin",0,0
"insignis","stems","chrysin",0,0
"insignis","stems","chrysinG",0,0
"insignis","stems","hispidulin",0,0
"insignis","stems","hispidulinG",0,0
"insignis","stems","isoscutellarin",0.221838773760034,0.221838773760035
"insignis","stems","oroxylinA",0,0
"insignis","stems","oroxyloside",0,0
"insignis","stems","scutellarein",0.169182805423113,0.0599366911879109
"insignis","stems","scutellarin",0.98443042162323,0.286946599784373
"insignis","stems","wogonin",0,0
"insignis","stems","wogonoside",0.184437865249824,0.184437865249824
"pekinensis var. alpina","flowers","acteoside",0,NA
"pekinensis var. alpina","flowers","apigenin",5.41681891265233,NA
"pekinensis var. alpina","flowers","apigeninG",3.04721179586288,NA
"pekinensis var. alpina","flowers","baicalein",0,NA
"pekinensis var. alpina","flowers","baicalin",0.299071995679977,NA
"pekinensis var. alpina","flowers","chrysin",9.49545040302919,NA
"pekinensis var. alpina","flowers","chrysinG",23.9135302032852,NA
"pekinensis var. alpina","flowers","hispidulin",0,NA
"pekinensis var. alpina","flowers","hispidulinG",0,NA
"pekinensis var. alpina","flowers","isoscutellarin",0,NA
"pekinensis var. alpina","flowers","oroxylinA",0,NA
"pekinensis var. alpina","flowers","oroxyloside",0,NA
"pekinensis var. alpina","flowers","scutellarein",0,NA
"pekinensis var. alpina","flowers","scutellarin",0,NA
"pekinensis var. alpina","flowers","wogonin",0,NA
"pekinensis var. alpina","flowers","wogonoside",0,NA
"pekinensis var. alpina","leaves","acteoside",0,0
"pekinensis var. alpina","leaves","apigenin",0.1601331786574,0.036867570527296
"pekinensis var. alpina","leaves","apigeninG",0.963424616431613,0.0201524441466736
"pekinensis var. alpina","leaves","baicalein",0.172706177646064,0.0197624580758353
"pekinensis var. alpina","leaves","baicalin",0.523213099196126,0.0303471468518279
"pekinensis var. alpina","leaves","chrysin",12.6458456042719,1.84446531171473
"pekinensis var. alpina","leaves","chrysinG",36.3122501316884,5.15314998962413
"pekinensis var. alpina","leaves","hispidulin",0,0
"pekinensis var. alpina","leaves","hispidulinG",0,0
"pekinensis var. alpina","leaves","isoscutellarin",0,0
"pekinensis var. alpina","leaves","oroxylinA",0,0
"pekinensis var. alpina","leaves","oroxyloside",0,0
"pekinensis var. alpina","leaves","scutellarein",0,0
"pekinensis var. alpina","leaves","scutellarin",0,0
"pekinensis var. alpina","leaves","wogonin",0,0
"pekinensis var. alpina","leaves","wogonoside",0,0
"pekinensis var. alpina","roots","acteoside",3.36710070451657,0.251336456006259
"pekinensis var. alpina","roots","apigenin",0,0
"pekinensis var. alpina","roots","apigeninG",0.433759046764459,0.216953445118523
"pekinensis var. alpina","roots","baicalein",0.787437572336758,0.182003523277124
"pekinensis var. alpina","roots","baicalin",9.46637797219292,1.0714995743107
"pekinensis var. alpina","roots","chrysin",0,0
"pekinensis var. alpina","roots","chrysinG",10.6833379325433,1.26164715148866
"pekinensis var. alpina","roots","hispidulin",0,0
"pekinensis var. alpina","roots","hispidulinG",0,0
"pekinensis var. alpina","roots","isoscutellarin",0,0
"pekinensis var. alpina","roots","oroxylinA",0.860027591103946,0.215035331037939
"pekinensis var. alpina","roots","oroxyloside",0.613367506831574,0.32327617339994
"pekinensis var. alpina","roots","scutellarein",0,0
"pekinensis var. alpina","roots","scutellarin",0,0
"pekinensis var. alpina","roots","wogonin",0,0
"pekinensis var. alpina","roots","wogonoside",0.0361553135353254,0.0361553135353254
"pekinensis var. alpina","stems","acteoside",0.743454153058468,0.37397917855379
"pekinensis var. alpina","stems","apigenin",0.169476965742037,0.169476965742037
"pekinensis var. alpina","stems","apigeninG",0.719734860510675,0.119363657253811
"pekinensis var. alpina","stems","baicalein",0.121920301645192,0.066712415386965
"pekinensis var. alpina","stems","baicalin",0.834339194919849,0.215006000642411
"pekinensis var. alpina","stems","chrysin",4.80121183400349,0.602209961279295
"pekinensis var. alpina","stems","chrysinG",17.4009572413474,1.6670799651341
"pekinensis var. alpina","stems","hispidulin",0,0
"pekinensis var. alpina","stems","hispidulinG",0,0
"pekinensis var. alpina","stems","isoscutellarin",0,0
"pekinensis var. alpina","stems","oroxylinA",0.0496653360359735,0.0496653360359735
"pekinensis var. alpina","stems","oroxyloside",0,0
"pekinensis var. alpina","stems","scutellarein",0,0
"pekinensis var. alpina","stems","scutellarin",0,0
"pekinensis var. alpina","stems","wogonin",0,0
"pekinensis var. alpina","stems","wogonoside",0,0
"strigillosa","flowers","acteoside",0,NA
"strigillosa","flowers","apigenin",0.396305452210467,NA
"strigillosa","flowers","apigeninG",18.8626333612577,NA
"strigillosa","flowers","baicalein",0.694586627325062,NA
"strigillosa","flowers","baicalin",16.7148015363365,NA
"strigillosa","flowers","chrysin",0,NA
"strigillosa","flowers","chrysinG",0.663814033490408,NA
"strigillosa","flowers","hispidulin",0,NA
"strigillosa","flowers","hispidulinG",0,NA
"strigillosa","flowers","isoscutellarin",0,NA
"strigillosa","flowers","oroxylinA",0,NA
"strigillosa","flowers","oroxyloside",0,NA
"strigillosa","flowers","scutellarein",0,NA
"strigillosa","flowers","scutellarin",7.95514952192694,NA
"strigillosa","flowers","wogonin",0.285737678396532,NA
"strigillosa","flowers","wogonoside",1.42241410718723,NA
"strigillosa","leaves","acteoside",0.648813596092044,0.648813596092044
"strigillosa","leaves","apigenin",0,0
"strigillosa","leaves","apigeninG",0,0
"strigillosa","leaves","baicalein",4.55209025258997,1.58261141569851
"strigillosa","leaves","baicalin",82.5233462589506,13.6937990732749
"strigillosa","leaves","chrysin",0,0
"strigillosa","leaves","chrysinG",2.9689394214842,0.411929827965975
"strigillosa","leaves","hispidulin",0,0
"strigillosa","leaves","hispidulinG",0,0
"strigillosa","leaves","isoscutellarin",0,0
"strigillosa","leaves","oroxylinA",0,0
"strigillosa","leaves","oroxyloside",0,0
"strigillosa","leaves","scutellarein",0,0
"strigillosa","leaves","scutellarin",9.95672557555967,2.66132085711748
"strigillosa","leaves","wogonin",0.087760011592246,0.0543908699970009
"strigillosa","leaves","wogonoside",0.627454871606723,0.066884084991048
"strigillosa","roots","acteoside",0.543657421684905,0.543657421684905
"strigillosa","roots","apigenin",0,0
"strigillosa","roots","apigeninG",0,0
"strigillosa","roots","baicalein",0.171167211706644,0.0464005091643782
"strigillosa","roots","baicalin",8.5105204173726,2.43690566302391
"strigillosa","roots","chrysin",0.82323847327741,0.272912183406167
"strigillosa","roots","chrysinG",1.20935018570357,0.450760677792011
"strigillosa","roots","hispidulin",0,0
"strigillosa","roots","hispidulinG",0,0
"strigillosa","roots","isoscutellarin",0,0
"strigillosa","roots","oroxylinA",0.183258803221345,0.0482922671532311
"strigillosa","roots","oroxyloside",3.58524856503644,1.78104778693773
"strigillosa","roots","scutellarein",0,0
"strigillosa","roots","scutellarin",0,0
"strigillosa","roots","wogonin",1.80393809672192,0.575579263059627
"strigillosa","roots","wogonoside",5.45510455296596,1.33323975361026
"strigillosa","stems","acteoside",0,0
"strigillosa","stems","apigenin",0,0
"strigillosa","stems","apigeninG",0,0
