"species","organ","metabolite","concentration_ppm","stError_ppm"
"wrightii","leaves","acteoside",0,0
"wrightii","leaves","apigenin",0,0
"wrightii","leaves","apigeninG",0,0
"wrightii","leaves","baicalein",1.04761907149266,0.246027069982242
"wrightii","leaves","baicalin",2.70608358005421,1.4036435080264
"wrightii","leaves","chrysin",1.03914814633281,0.212843876637293
"wrightii","leaves","chrysinG",0.28053170106477,0.194142775579664
"wrightii","leaves","hispidulin",0.0339022754876784,0.00521573469041206
"wrightii","leaves","hispidulinG",0,0
"wrightii","leaves","isoscutellarin",0,0
"wrightii","leaves","oroxylinA",0.148118324182535,0.0274512849721068
"wrightii","leaves","oroxyloside",0.36551153522677,0.116962310387925
"wrightii","leaves","scutellarein",0,0
"wrightii","leaves","scutellarin",0.300793877385575,0.197424252836317
"wrightii","leaves","wogonin",0,0
"wrightii","leaves","wogonoside",0,0
"wrightii","roots","acteoside",0,0
"wrightii","roots","apigenin",0,0
"wrightii","roots","apigeninG",0,0
"wrightii","roots","baicalein",24.4577842725894,1.85572564695811
"wrightii","roots","baicalin",98.1796624035403,21.2695915267237
"wrightii","roots","chrysin",0,0
"wrightii","roots","chrysinG",0,0
"wrightii","roots","hispidulin",0,0
"wrightii","roots","hispidulinG",0,0
"wrightii","roots","isoscutellarin",0,0
"wrightii","roots","oroxylinA",1.66574568000706,0.541810265614915
"wrightii","roots","oroxyloside",9.72540007118472,2.69423201064413
"wrightii","roots","scutellarein",0,0
"wrightii","roots","scutellarin",0,0
"wrightii","roots","wogonin",4.44756681704572,0.749394051037559
"wrightii","roots","wogonoside",7.12187961912244,2.00252850406048
"wrightii","stems","acteoside",0,0
"wrightii","stems","apigenin",0,0
"wrightii","stems","apigeninG",0.0658476163404087,0.0183215544851079
"wrightii","stems","baicalein",4.18704740468359,1.77571117874778
"wrightii","stems","baicalin",66.7375091734816,2.0583171674991
"wrightii","stems","chrysin",1.26212911263775,0.467531980527807
"wrightii","stems","chrysinG",4.78975493344644,0.226760896050167
"wrightii","stems","hispidulin",0.947149226618341,0.126042551187602
"wrightii","stems","hispidulinG",0,0
"wrightii","stems","isoscutellarin",0,0
"wrightii","stems","oroxylinA",3.18157308755653,0.615230251834111
"wrightii","stems","oroxyloside",34.2324974606014,0.60772978127246
"wrightii","stems","scutellarein",0,0
"wrightii","stems","scutellarin",4.8603911643089,0.580509471251411
"wrightii","stems","wogonin",0.88789610181218,0.100284979406517
"wrightii","stems","wogonoside",0.911419797548303,0.249866735830641
