"","species","organ","acetoside","apigenin","apigeninG","baicalein","baicalin","chrysin","chrysinG","hispidulin","hispidulinG","oroxylinA","oroxyloside","scutellarein","scutellarin","wogonin","wogonoside"
"54","ovata","leaves",0,0,5.0046350099812,0,0,0,0.129685041400453,0,0,0,0.343748534789572,0,1.63736696444255,0,0
"55","parvula","leaves",0,0,0.624326020253784,0,0,0,4.26296739740545,0,0,0,0,0,0.46836324063612,0.508574370437096,12.4760085843404
"56","parvula","stems",0,0,0,0,0,0,0.395466956131126,0,0,0,0,0,0,0.373245236773232,4.20349326349726
"57","paucifolia","stems",0,0,0,0.193925455126555,2.39856513353015,0,0,0,0,0.0322343096174403,0.302170642185274,0,0,1.516989329181,2.90022371733871
"58","peregrina","leaves",0,0.0816389734744638,1.22245788673489,0,0,0,0.167020708453482,0,0,0,0,0.0174563499611041,0,0,0
"59","pinnatifida","stems",0.221261968104193,0.161635703704811,1.96886752028946,0,0,0,0.0361663447036938,0.0181453968720084,0,0,0,0,0,0,0
"60","potosina","leaves",0,0,0.310801339417505,0,0,0,0.102041743962192,0.070172574589585,0,0,0,0.208996304165231,0.489084007866594,0,0.0212590756325473
"61","potosina","stems",0,0,0.573387156898092,0,0,0,0.572596021122101,0.168331623044898,0,0,0,0.169638940717636,0.445084353994479,0.115706988106957,0.779478239086564
"62","prostrata","stems",0,0.163806804942796,0,0.0610300118776299,0.0412681945317287,3.93988640655109,0.5031763115434,0.0607081561245177,0,0.375501875221688,0,0,0,0,0.0946240560803684
"63","przewalskii","stems",0,0,0.0571750406123922,0,0,0,0,0.00930318269188423,0,0,0,0,0,0,0
"64","pseudoserrata","leaves",0,0.0615145350762241,0.129908676849535,0,0,0.0388304469144372,0.0612738693734669,0,0,0,0,0,0.0956080156219762,0,0
"65","purpurascens","stems",0,0,0,0,0.0567482727425388,0.0239596049705162,0.021879950496977,0,0,0,0,0,0,0.0792553645300063,0.0333381126281633
"66","racemosa","leaves",0,0,0.0620776772193282,0.0383372470573342,4.08164069173573,0,0,0.0226712695329251,0,0.257431697961261,17.4169893698333,0,0,0,0
"67","racemosa","stems",0,0,0,0,4.09758931713338,0,0,0,0,0.132669232715108,12.5827354315075,0,0,0,0.411534209900411
"68","relenorskyi","leaves",0.806762488642851,0.0313974640570049,0.446520501196075,0,0,0,0,0,0,0,0,0,0,0,0
"69","resinosa","leaves",0,0,1.15921503255012,0,0,0.169442279483698,0.953261007123348,0.385102961549137,0,0,0.391531608286019,1.1087108080823,2.73980273646055,0,0
"70","resinosa","stems",0,0.0479341131809843,0.169744632749678,0,0.821140417603651,0,0.242925411928689,0.203995802130429,0,0.0297538597119721,0.725202258483614,0,0.690550123270699,0,0
"71","sapphirina","leaves",1.44278533740478,0,0.107981130929473,0.174771776282009,12.0587508493728,0.196100258949636,7.80669132223441,0,0,0,0.311618037793025,0,0,0.0819422341988069,4.5857681619739
"72","sapphirina","stems",0.210092100317207,0,0,0.0333478736944744,2.76082192868044,0.0621157838961918,0.644219230525765,0,0,0.0918730877836844,1.67132092017903,0,0,0.19477812874592,3.05845699897704
"73","scordiifolia","stems",0,0,0,0,0.381163136480609,0,0.459278800797894,0,0,0,0,0,0,0.0658801324549247,0.668094816661835
"74","seleriana","stems",0,0,0,0.0256533440716854,0.32185587525619,0,0,0.00789233967104293,0,0,0.498183168962522,0,0,0,0
"75","serrata","leaves",0,0,0,0,0,0.109272980238466,0.367117120739174,0,0,0,0,0,0,1.07557141220784,3.00524144555176
"76","siphocampyloides","leaves",0,0,0,0.422535280801291,18.6446836766635,0.110019909470476,1.16040027169746,0,0,0.15992699595185,6.29337829274353,0,0,0.0622815003517185,0.638599099143132
"77","siphocampyloides","stems",0.188609671659613,0,0.146689071874836,0.0605953956148871,7.46672050983797,0,0.064824857251384,0,0,0.0808154403876286,5.49806523369331,0,0,0.0564546685344266,1.44240522582715
"78","splendens","leaves",7.02874213046708,0.0600579638216082,0.50211607408633,0,0,0,0,0,0,0,0,0,0.195127663974206,0,0
"79","suffrutescens","stems",0,0,0,0.118393113413437,3.74951282046073,0,0,0,0,0,0.141991621628763,0,0,0,0
"80","sumatrana","leaves",0,1.1756791549998,0.947574439718615,0.144482278796241,0.775914141379088,0.741159067865906,0.753088130341636,0,0,0,0,0.143690842109918,0,0,0
"81","tessellata","leaves",0,0,0.949363007996693,0,0,0,0.314073783865629,0.100862756476265,0,0,0,0.269926113686611,1.60669795505753,0,0
"82","tessellata","stems",0,0,0.373592927357176,0,0,0,0.247800523809174,0.115330690237235,0,0,0,0,1.15871439906373,0,0.179501649076909
