"Species","Acteoside","Apigenin","Apigenin 7-G","Baicalein","Baicalin","Chrysin","Chrysin 7-G","Hispidulin","Hispiduloside","Oroxylin A","Oroxyloside","Scutellarein","Scutellarin","Wogonin","Wogonoside"
"S. isocheila","0.000","0.000","0.000","0.000"," 0.000","0.000"," 0.000","0.004","0.000","0.000"," 0.000","0.000"," 0.000","0.000","0.000"
"S. javalambrensis","0.274","0.000","0.000","0.107"," 5.395","0.000"," 1.255","0.000","0.000","0.040"," 0.566","0.000"," 0.433","0.311","2.967"
"S. leonardii","0.000","0.000","0.032","0.000"," 0.037","0.000"," 0.309","0.000","0.000","0.000"," 0.000","0.019"," 1.986","0.079","0.235"
"S. lutilaba","0.000","0.135","0.486","0.000"," 0.000","0.000"," 0.000","0.101","0.000","0.000"," 0.111","1.414","20.648","0.000","0.079"
"S. microphylla","0.214","0.260","0.081","0.653"," 4.943","0.412"," 1.528","0.214","0.000","0.283"," 3.343","0.000"," 9.704","0.249","0.678"
"S. muriculata","0.000","0.000","0.000","0.000"," 0.235","0.000"," 0.000","0.088","0.000","0.047"," 0.436","0.048"," 1.730","0.992","0.743"
"S. paucifolia","0.000","0.000","0.000","0.194"," 2.399","0.000"," 0.000","0.000","0.000","0.032"," 0.302","0.000"," 0.000","1.517","2.900"
"S. pekinensis var. alpina","0.329","1.063","0.578","0.200"," 1.246","5.299","10.259","0.000","0.000","0.160"," 0.067","0.000"," 0.000","0.000","0.004"
"S. peregrina","0.000","0.082","1.184","0.000"," 0.000","0.000"," 0.162","0.000","0.000","0.000"," 0.000","0.017"," 1.213","0.000","0.000"
"S. pseudoserrata","0.000","0.062","0.126","0.000"," 0.000","0.039"," 0.059","0.000","0.000","0.000"," 0.000","0.000"," 0.000","0.000","0.000"
"S. relenorskyi","0.807","0.031","0.433","0.000"," 0.000","0.000"," 0.000","0.000","0.000","0.000"," 0.000","0.000"," 1.281","0.000","0.000"
"S. sumatrana","0.000","1.176","0.918","0.144"," 0.776","0.741"," 0.729","0.000","0.000","0.000"," 0.000","0.144"," 2.675","0.000","0.000"
"S. tessellata","0.000","0.000","0.641","0.000"," 0.000","0.000"," 0.272","0.108","0.000","0.000"," 0.000","0.135"," 9.278","0.000","0.090"
