,species,organ,metabolite,concentration_ppm,stError_ppm
282,isocheila,all,baicalein,0,NA
283,lateriflora,all,baicalein,0.259444885,NA
284,longifolia,all,baicalein,0,NA
285,lutilaba,all,baicalein,0,NA
286,microphylla,all,baicalein,2.524191597,NA
287,orientalis,all,baicalein,1.750404024,NA
288,ovata,all,baicalein,0,NA
289,parvula,all,baicalein,0,NA
290,potosina,all,baicalein,0,NA
291,pulchella,all,baicalein,7.605487924,NA
292,resinosa,all,baicalein,0,NA
293,sapphirina,all,baicalein,0.46641451,NA
294,serrata,all,baicalein,0,NA
295,siphocampuloides,all,baicalein,0.65280617,NA
296,splendens,all,baicalein,0,NA
297,tessellata,all,baicalein,0,NA
298,alpina,all,baicalin,0,NA
299,altissima,all,baicalin,0,NA
300,astinae,all,baicalin,32.89310943,NA
301,coerulea,all,baicalin,0,NA
302,costaricana,all,baicalin,0,NA
303,epilobiifolia,all,baicalin,11.93532139,NA
304,formosa,all,baicalin,11.97722219,NA
305,fruticosa,all,baicalin,0,NA
306,galericulata,all,baicalin,14.51172975,NA
307,holmgreniorum,all,baicalin,80.45945525,NA
308,hookeri,all,baicalin,0,NA
309,isocheila,all,baicalin,0,NA
310,lateriflora,all,baicalin,38.38573078,NA
311,longifolia,all,baicalin,0,NA
312,lutilaba,all,baicalin,0,NA
313,microphylla,all,baicalin,50.41360247,NA
314,orientalis,all,baicalin,35.86465628,NA
315,ovata,all,baicalin,0,NA
316,parvula,all,baicalin,0,NA
317,potosina,all,baicalin,0,NA
318,pulchella,all,baicalin,58.80660993,NA
319,resinosa,all,baicalin,1.832785412,NA
320,sapphirina,all,baicalin,46.02237111,NA
321,serrata,all,baicalin,0,NA
322,siphocampuloides,all,baicalin,58.28065414,NA
323,splendens,all,baicalin,0,NA
324,tessellata,all,baicalin,0,NA
325,alpina,all,oroxylinA,0,NA
326,altissima,all,oroxylinA,0.198946545,NA
327,astinae,all,oroxylinA,0,NA
328,coerulea,all,oroxylinA,0,NA
329,costaricana,all,oroxylinA,0,NA
330,epilobiifolia,all,oroxylinA,0,NA
331,formosa,all,oroxylinA,2.134040213,NA
332,fruticosa,all,oroxylinA,0,NA
333,galericulata,all,oroxylinA,0,NA
334,holmgreniorum,all,oroxylinA,0,NA
335,hookeri,all,oroxylinA,0,NA
336,isocheila,all,oroxylinA,0,NA
337,lateriflora,all,oroxylinA,0.108691476,NA
338,longifolia,all,oroxylinA,0,NA
339,lutilaba,all,oroxylinA,0,NA
340,microphylla,all,oroxylinA,1.930267566,NA
341,orientalis,all,oroxylinA,0.157803149,NA
342,ovata,all,oroxylinA,0,NA
343,parvula,all,oroxylinA,0,NA
344,potosina,all,oroxylinA,0,NA
345,pulchella,all,oroxylinA,1.283778096,NA
346,resinosa,all,oroxylinA,0.042289161,NA
347,sapphirina,all,oroxylinA,0.047314905,NA
348,serrata,all,oroxylinA,0,NA
349,siphocampuloides,all,oroxylinA,0.342167225,NA
350,splendens,all,oroxylinA,0,NA
351,tessellata,all,oroxylinA,0,NA
352,alpina,all,oroxyloside,0,NA
353,altissima,all,oroxyloside,0,NA
354,astinae,all,oroxyloside,3.81788321,NA
355,coerulea,all,oroxyloside,0,NA
356,costaricana,all,oroxyloside,0.63864713,NA
357,epilobiifolia,all,oroxyloside,2.660318621,NA
358,formosa,all,oroxyloside,2.538189023,NA
359,fruticosa,all,oroxyloside,0,NA
360,galericulata,all,oroxyloside,0.679912535,NA
361,holmgreniorum,all,oroxyloside,2.956042908,NA
362,hookeri,all,oroxyloside,0,NA
363,isocheila,all,oroxyloside,0,NA
364,lateriflora,all,oroxyloside,3.912013664,NA
365,longifolia,all,oroxyloside,0,NA
366,lutilaba,all,oroxyloside,0.511384357,NA
367,microphylla,all,oroxyloside,33.93025096,NA
368,orientalis,all,oroxyloside,1.751413091,NA
369,ovata,all,oroxyloside,1.582618254,NA
370,parvula,all,oroxyloside,0,NA
371,potosina,all,oroxyloside,0,NA
372,pulchella,all,oroxyloside,22.42878057,NA
373,resinosa,all,oroxyloside,2.570721361,NA
374,sapphirina,all,oroxyloside,4.835252089,NA
375,serrata,all,oroxyloside,0,NA
376,siphocampuloides,all,oroxyloside,27.143903,NA
377,splendens,all,oroxyloside,0,NA
378,tessellata,all,oroxyloside,0,NA
379,alpina,all,acetoside,3.108996616,NA
380,altissima,all,acetoside,0,NA
381,astinae,all,acetoside,0,NA
382,coerulea,all,acetoside,23.54527332,NA
383,costaricana,all,acetoside,33.85207488,NA
384,epilobiifolia,all,acetoside,0,NA
385,formosa,all,acetoside,0,NA
386,fruticosa,all,acetoside,8.627667657,NA
387,galericulata,all,acetoside,0,NA
388,holmgreniorum,all,acetoside,13.2478214,NA
389,hookeri,all,acetoside,0,NA
390,isocheila,all,acetoside,0,NA
391,lateriflora,all,acetoside,4.44251038,NA
392,longifolia,all,acetoside,0,NA
393,lutilaba,all,acetoside,0,NA
394,microphylla,all,acetoside,0.892072903,NA
395,orientalis,all,acetoside,0,NA
396,ovata,all,acetoside,0,NA
397,parvula,all,acetoside,0,NA
398,potosina,all,acetoside,0,NA
399,pulchella,all,acetoside,0,NA
400,resinosa,all,acetoside,0,NA
401,sapphirina,all,acetoside,10.14960066,NA
402,serrata,all,acetoside,0,NA
403,siphocampuloides,all,acetoside,0.589028005,NA
404,splendens,all,acetoside,43.90152335,NA
405,tessellata,all,acetoside,0,NA
